scanname,Scan006
-89.818588000000005,131
-87.222115000000002,131
-84.627373000000006,144
-82.034362999999999,165
-79.443077000000002,168
-76.853522999999996,117
-74.265701000000007,166
-71.679610999999994,220
-69.095245000000006,175
-66.512596000000002,215
-63.931671000000001,242
-61.352466999999997,274
-58.774985999999998,247
-56.199218999999999,245
-53.625171999999999,315
-51.052844999999998,305
-48.482224000000002,334
-45.913319000000001,385
-43.346130000000002,395
-40.780639999999998,470
-38.216861999999999,550
-35.654797000000002,547
-33.094428999999998,473
-30.535772000000001,17593
-27.978812999999999,34045
-25.423560999999999,38574
-22.870007000000001,40750
-20.318151,43279
-17.767983999999998,44069
-15.219521,44744
-12.672751999999999,45040
-10.127677,45775
-7.5842929999999997,46640
-5.0425990000000001,48075
-2.5025940000000002,49852
0.035725,50840
2.5723569999999998,50371
5.1073120000000003,47621
7.6405760000000003,42653
10.172159000000001,31572
12.702062,13744
15.230283999999999,5597
17.756827999999999,3523
20.281696,2367
22.804901000000001,1617
25.326422000000001,1273
27.846270000000001,1006
30.364446999999998,870
32.880951000000003,698
35.395794000000002,639
37.908974000000001,562
40.420485999999997,564
42.930320999999999,520
45.438510999999998,475
47.945022999999999,416
50.449890000000003,418
52.953102000000001,390
55.454639,400
57.954535999999997,341
60.452762999999997,288
62.949351999999998,340
65.444275000000005,312
67.937552999999994,299
70.429175999999998,211
72.919173999999998,252
75.407516000000001,249
77.894203000000005,280
80.379256999999996,211
82.862647999999993,200
85.344429000000005,245
87.824546999999995,136
90.303047000000007,180
92.779892000000004,179
95.255111999999997,184
97.728699000000006,141
100.20064499999999,161
102.670959,136
105.139641,169
107.60670500000001,168
110.072136,162
112.53594200000001,135
114.998131,116
117.458687,142
119.917618,140
122.374916,138
124.83062700000001,152
127.284706,124
129.737167,125
132.18803399999999,149
134.637238,124
137.08483899999999,128
139.53088399999999,149
141.975281,207
144.41804500000001,150
146.85922199999999,116
149.29879800000001,87
151.736771,114
154.173157,131
156.60789500000001,199
159.04106100000001,211
161.47262599999999,198
163.90258800000001,209
166.33097799999999,186
168.757721,230
171.18289200000001,261
173.60647599999999,279
176.02848800000001,318
178.448883,391
180.86767599999999,489
183.28488200000001,658
185.700546,709
188.11457799999999,941
190.52706900000001,1105
192.937927,1334
195.347229,1603
197.75495900000001,1885
200.16113300000001,2201
202.56564299999999,2638
204.968658,2935
207.37005600000001,3221
209.769913,3685
212.16819799999999,4005
214.56485000000001,4344
216.959991,4696
219.35356100000001,4874
221.74556000000001,5236
224.13595599999999,5525
226.524811,5750
228.91210899999999,6050
231.29785200000001,6288
233.68202199999999,6577
236.064606,6818
238.44567900000001,7037
240.82517999999999,7374
243.20313999999999,7600
245.579498,7962
247.95431500000001,8041
250.32762099999999,8229
252.69935599999999,8412
255.06954999999999,8496
257.43814099999997,8704
259.80526700000001,8793
262.17077599999999,8810
264.53478999999999,8957
266.89721700000001,9036
269.25811800000002,8959
271.61749300000002,9074
273.97531099999998,8930
276.33163500000001,9129
278.68633999999997,9000
281.039581,9054
283.39126599999997,9064
285.74142499999999,8978
288.09002700000002,9004
290.437073,9118
292.78265399999998,9005
295.12667800000003,9028
297.469177,8985
299.81015000000002,9141
302.14959700000003,9096
304.48751800000002,9063
306.82394399999998,9096
309.15881300000001,9031
311.49215700000002,9009
313.82403599999998,9016
316.15432700000002,9077
318.48315400000001,9120
320.81045499999999,9090
323.13623000000001,8998
325.46051,9074
327.78326399999997,9077
330.10449199999999,9008
332.42422499999998,8912
334.74246199999999,8868
337.05920400000002,8912
339.37445100000002,8918
341.68814099999997,8942
344.000336,9018
346.31106599999998,8922
348.62027,8840
350.92800899999997,8883
353.23422199999999,8884
355.53894000000003,8763
357.84216300000003,8788
360.14389,8830
362.44412199999999,8822
364.74282799999997,8792
367.04013099999997,8785
369.33587599999998,8821
371.63018799999998,8852
373.92294299999998,8768
376.21423299999998,8723
378.50405899999998,8734
380.792419,8756
383.07925399999999,8731
385.36465500000003,8757
387.64849900000002,8704
389.93093900000002,8719
392.21182299999998,8741
394.491333,8776
396.76928700000002,8671
399.04583700000001,8611
401.32086199999998,8598
403.59445199999999,8687
405.86657700000001,8605
408.13720699999999,8543
410.40631100000002,8621
412.67401100000001,8636
414.940247,8621
417.205017,8539
419.46829200000002,8626
421.73013300000002,8519
423.99056999999999,8508
426.24945100000002,8419
428.50698899999998,8371
430.762878,8440
433.01745599999998,8376
435.27053799999999,8419
437.52218599999998,8522
439.77236900000003,8375
442.02108800000002,8372
444.26843300000002,8380
446.514252,8380
448.75863600000002,8427
451.00158699999997,8458
453.243042,8375
455.483093,8380
457.72170999999997,8324
459.95883199999997,8430
462.19461100000001,8281
464.42889400000001,8479
466.66171300000002,8357
468.89312699999999,8367
471.123108,8444
473.35159299999998,8392
475.57870500000001,8541
477.80438199999998,9077
480.02862499999998,9972
482.251465,11848
484.47287,13828
486.69278000000003,14798
488.911316,14424
491.12841800000001,12905
493.34402499999999,10992
495.558289,9461
497.771118,8763
499.98251299999998,8384
502.19250499999998,8121
504.40106200000002,8036
506.60824600000001,7876
508.813965,7798
511.01828,7760
513.22106900000006,7734
515.42260699999997,7680
517.62261999999998,7629
519.82128899999998,7625
522.01861599999995,7679
524.21441700000003,7604
526.40887499999997,7501
528.60192900000004,7521
530.79345699999999,7483
532.98358199999996,7528
535.17242399999998,7569
537.35992399999998,7425
539.54589799999997,7352
541.73046899999997,7315
543.91369599999996,7361
546.09551999999996,7287
548.27593999999999,7291
550.45495600000004,7384
552.63256799999999,7290
554.808716,7185
556.98364300000003,7343
559.15704300000004,7310
561.32910200000003,7195
563.49975600000005,7245
565.66906700000004,7146
567.83697500000005,7111
570.00347899999997,7131
572.16851799999995,7093
574.33227499999998,7138
576.49468999999999,7110
578.65563999999995,7195
580.81518600000004,7039
582.97351100000003,7225
585.13031000000001,7160
587.28582800000004,7125
589.43988000000002,7098
591.59246800000005,7097
593.74383499999999,7117
595.89386000000002,7175
598.042419,7168
600.18957499999999,7228
602.33544900000004,7278
604.47997999999995,7354
606.62304700000004,7430
608.76483199999996,7769
610.90521200000001,8119
613.04425000000003,8436
615.18188499999997,8782
617.31811500000003,8972
619.453125,8974
621.58667000000003,8799
623.71893299999999,8281
625.84979199999998,7835
627.97924799999998,7343
630.10742200000004,7163
632.23413100000005,6950
634.35961899999995,6852
636.48364300000003,6758
638.60644500000001,6778
640.72778300000004,6673
642.84783900000002,6600
644.96655299999998,6509
647.08392300000003,6524
649.19988999999998,6493
651.31451400000003,6497
653.42779499999995,6444
655.53973399999995,6565
657.65033000000005,6419
659.75970500000005,6446
661.86755400000004,6372
663.974243,6426
666.07952899999998,6422
668.18335000000002,6458
670.28594999999996,6512
672.38726799999995,6348
674.48724400000003,6433
676.58581500000003,6357
678.683044,6327
680.77899200000002,6348
682.87353499999995,6356
684.96691899999996,6291
687.05883800000004,6330
689.14935300000002,6302
691.23870799999997,6315
693.32672100000002,6419
695.41332999999997,6346
697.49865699999998,6308
699.58270300000004,6275
701.66540499999996,6343
703.74682600000006,6353
705.82684300000005,6231
707.90551800000003,6260
709.98290999999995,6258
712.05908199999999,6301
714.13391100000001,6210
716.20739700000001,6172
718.27954099999999,6235
720.35040300000003,6152
722.41992200000004,6258
724.488159,6133
726.555115,6077
728.62060499999995,6075
730.68505900000002,6096
732.74804700000004,6177
734.809753,6033
736.87023899999997,6109
738.92932099999996,6157
740.98718299999996,6033
743.04370100000006,6034
745.09887700000002,6018
747.152649,6007
749.20532200000002,5972
751.25665300000003,5969
753.30664100000001,5936
755.35553000000004,5927
757.40289299999995,5926
759.44903599999998,5916
761.49395800000002,5897
763.53753700000004,5855
765.57977300000005,5820
767.62078899999995,5839
769.66046100000005,5900
771.69891399999995,5882
773.73602300000005,5909
775.771973,5865
777.80651899999998,5867
779.83984399999997,5852
781.87182600000006,5827
783.90258800000004,5794
785.932007,5771
787.96014400000001,5746
789.98706100000004,5695
792.01281700000004,5758
794.03710899999999,5744
796.06018100000006,5717
798.08209199999999,5797
800.10260000000005,5620
802.12176499999998,5740
804.13983199999996,5577
806.15661599999999,5717
808.17199700000003,5754
810.18615699999998,5695
812.19915800000001,5682
814.21081500000003,5637
816.22119099999998,5585
818.23034700000005,5631
820.23821999999996,5629
822.24487299999998,5563
824.25024399999995,5662
826.25439500000005,5598
828.25714100000005,5606
830.25872800000002,5536
832.25915499999996,5483
834.25811799999997,5608
836.25604199999998,5527
838.25262499999997,5613
840.24804700000004,5467
842.24194299999999,5503
844.23486300000002,5485
846.22637899999995,5418
848.21667500000001,5512
850.20581100000004,5485
852.19360400000005,5470
854.18017599999996,5475
856.165527,5388
858.149719,5432
860.13244599999996,5414
862.11413600000003,5428
864.09448199999997,5485
866.07360800000004,5439
868.051514,5479
870.02813700000002,5428
872.00366199999996,5446
873.97778300000004,5343
875.95080600000006,5374
877.92242399999998,5298
879.89294400000006,5387
881.862122,5351
883.83013900000003,5368
885.79699700000003,5328
887.76251200000002,5312
889.72686799999997,5447
891.68994099999998,5407
893.65191700000003,5327
895.61254899999994,5469
897.57202099999995,5425
899.53015100000005,5434
901.487122,5437
903.44287099999997,5380
905.39746100000002,5452
907.35082999999997,5409
909.30291699999998,5540
911.25384499999996,5478
913.20343000000003,5530
915.15203899999995,5613
917.099243,5657
919.04528800000003,5758
920.99011199999995,5919
922.93353300000001,6252
924.87603799999999,6684
926.817139,7515
928.75720200000001,9033
930.69598399999995,10677
932.63354500000003,12653
934.56982400000004,15429
936.50500499999998,17813
938.43896500000005,18486
940.37164299999995,17682
942.303223,14962
944.23358199999996,11539
946.16272000000004,8969
948.09063700000002,7244
950.01733400000001,6380
951.94293200000004,5925
953.86730999999997,5760
955.790344,5587
957.71227999999996,5565
959.63305700000001,5608
961.55255099999999,5555
963.47100799999998,5660
965.38812299999995,5731
967.30419900000004,5975
969.21887200000003,6289
971.13250700000003,6889
973.04492200000004,7627
974.95611599999995,8414
976.86621100000002,9086
978.77496299999996,9134
980.68273899999997,8723
982.589111,7965
984.49456799999996,7197
986.39855999999997,6377
988.30157499999996,5873
990.20324700000003,5535
992.10375999999997,5334
994.00329599999998,5190
995.90142800000001,5123
997.79852300000005,4914
999.69433600000002,5001
1001.589111,4799
1003.482544,4859
1005.375,4918
1007.2660519999999,4813
1009.156067,4702
1011.044922,4824
1012.932495,4786
1014.819092,4725
1016.704346,4723
1018.588562,4799
1020.471497,4748
1022.353333,4745
1024.234009,4757
1026.1134030000001,4766
1027.991943,4670
1029.869019,4734
1031.7451169999999,4825
1033.6198730000001,4787
1035.4936520000001,4763
1037.366211,4772
1039.2375489999999,4805
1041.1076660000001,4707
1042.9766850000001,4749
1044.8446039999999,4713
1046.711548,4708
1048.5770259999999,4694
1050.4414059999999,4686
1052.3048100000001,4710
1054.16687,4709
1056.0279539999999,4704
1057.8876949999999,4704
1059.7464600000001,4709
1061.604004,4769
1063.460327,4725
1065.3156739999999,4730
1067.169678,4729
1069.0227050000001,4718
1070.8743899999999,4705
1072.725342,4649
1074.5748289999999,4708
1076.423096,4705
1078.2703859999999,4688
1080.116577,4723
1081.961548,4630
1083.805298,4676
1085.6480710000001,4512
1087.489624,4473
1089.330078,4615
1091.1694339999999,4537
1093.007568,4559
1094.844482,4515
1096.6804199999999,4367
1098.515259,4393
1100.3488769999999,4386
1102.181519,4491
1104.012939,4385
1105.8431399999999,4409
1107.672241,4438
1109.5002440000001,4372
1111.3271480000001,4425
1113.1529539999999,4323
1114.977539,4308
1116.8011469999999,4350
1118.6236570000001,4268
1120.444702,4286
1122.2650149999999,4321
1124.0839840000001,4220
1125.9018550000001,4333
1127.71875,4257
1129.534302,4316
1131.348999,4321
1133.162476,4324
1134.974731,4359
1136.7860109999999,4392
1138.5960689999999,4403
1140.405029,4316
1142.2128909999999,4343
1144.0196530000001,4272
1145.825439,4284
1147.6301269999999,4214
1149.43335,4217
1151.2358400000001,4373
1153.036987,4292
1154.8374020000001,4323
1156.6363530000001,4316
1158.434082,4281
1160.2312010000001,4277
1162.0268550000001,4324
1163.821533,4179
1165.61499,4235
1167.4073490000001,4241
1169.1988530000001,4285
1170.9891359999999,4228
1172.778198,4230
1174.5664059999999,4197
1176.353149,4169
1178.138794,4138
1179.923706,4176
1181.7073969999999,4083
1183.490112,4171
1185.271606,4148
1187.05188,4096
1188.8312989999999,4127
1190.6094969999999,4242
1192.3865969999999,4252
1194.1623540000001,4162
1195.9373780000001,4185
1197.7114260000001,4190
1199.4842530000001,4127
1201.255981,4165
1203.026611,4181
1204.7960210000001,4174
1206.5645750000001,4249
1208.331909,4234
1210.0981449999999,4221
1211.8634030000001,4102
1213.6274410000001,4195
1215.3905030000001,4111
1217.1523440000001,4172
1218.9135739999999,4144
1220.6732179999999,4216
1222.4320070000001,4180
1224.1895750000001,4176
1225.9461670000001,4111
1227.7017820000001,4211
1229.4562989999999,4136
1231.209717,4151
1232.961914,4212
1234.7132570000001,4262
1236.463501,4267
1238.212524,4262
1239.9605710000001,4211
1241.7075199999999,4251
1243.453491,4239
1245.1982419999999,4210
1246.942139,4192
1248.684937,4233
1250.426514,4319
1252.1669919999999,4210
1253.906616,4252
1255.6451420000001,4291
1257.3823239999999,4267
1259.118774,4205
1260.854126,4375
1262.5882570000001,4307
1264.321655,4227
1266.0538329999999,4419
1267.7849120000001,4361
1269.5147710000001,4348
1271.2438959999999,4272
1272.971558,4383
1274.6987300000001,4273
1276.4243160000001,4400
1278.1491699999999,4389
1279.8729249999999,4360
1281.5954589999999,4414
1283.317139,4510
1285.03772,4393
1286.757202,4513
1288.4757079999999,4504
1290.193237,4579
1291.9095460000001,4484
1293.6248780000001,4571
1295.3389890000001,4523
1297.0523679999999,4624
1298.7645259999999,4598
1300.4758300000001,4748
1302.1857910000001,4807
1303.8948969999999,4699
1305.603149,4799
1307.309937,4744
1309.015991,4788
1310.720947,4776
1312.424927,4796
1314.127808,4654
1315.8295900000001,4657
1317.530518,4735
1319.2301030000001,4744
1320.9289550000001,4684
1322.6267089999999,4693
1324.3232419999999,4742
1326.0189210000001,4630
1327.713745,4664
1329.4071039999999,4665
1331.0998540000001,4630
1332.79126,4703
1334.481812,4677
1336.1712649999999,4637
1337.859741,4656
1339.547241,4649
1341.233643,4649
1342.919067,4640
1344.603394,4604
1346.2867429999999,4584
1347.9689940000001,4595
1349.6503909999999,4620
1351.330688,4606
1353.009888,4569
1354.6883539999999,4608
1356.365356,4546
1358.0417480000001,4580
1359.716919,4509
1361.3911129999999,4590
1363.0642089999999,4608
1364.736328,4508
1366.407471,4500
1368.077759,4462
1369.7468260000001,4520
1371.4149170000001,4455
1373.0821530000001,4532
1374.7482910000001,4399
1376.4133300000001,4356
1378.077393,4345
1379.740601,4377
1381.4025879999999,4347
1383.0635990000001,4250
1384.723755,4311
1386.3826899999999,4311
1388.040894,4342
1389.697876,4242
1391.3538820000001,4259
1393.0089109999999,4266
1394.6629640000001,4295
1396.3160399999999,4245
1397.9681399999999,4228
1399.6191409999999,4239
1401.2692870000001,4192
1402.9183350000001,4202
1404.5661620000001,4213
1406.213379,4232
1407.859375,4210
1409.504639,4107
1411.1488039999999,4128
1412.7917480000001,4153
1414.4338379999999,4145
1416.0749510000001,4031
1417.714966,4175
1419.354126,4076
1420.992432,4166
1422.6293949999999,4290
1424.2657469999999,4178
1425.9007570000001,4179
1427.5349120000001,4233
1429.1682129999999,4210
1430.8004149999999,4299
1432.4316409999999,4508
1434.0618899999999,4398
1435.6911620000001,4536
1437.319336,4543
1438.946655,4742
1440.5729980000001,4643
1442.19812,4571
1443.822754,4644
1445.445923,4586
1447.0683590000001,4655
1448.6898189999999,4544
1450.310303,4637
1451.9296879999999,4591
1453.5483400000001,4435
1455.165649,4592
