scanname,Scan008
419.72183200000001,956
421.98367300000001,939
424.24410999999998,932
426.50299100000001,901
428.76052900000002,872
431.01641799999999,945
433.27099600000003,935
435.52407799999997,955
437.77572600000002,914
440.02590900000001,911
442.27462800000001,891
444.521973,878
446.76779199999999,899
449.01217700000001,884
451.25512700000002,897
453.49658199999999,891
455.73663299999998,867
457.97525000000002,912
460.21237200000002,881
462.448151,921
464.682434,939
466.91525300000001,916
469.14666699999998,926
471.37664799999999,881
473.60513300000002,941
475.832245,990
478.05792200000002,1018
480.28216600000002,1243
482.50500499999998,1661
484.72640999999999,2030
486.94632000000001,2270
489.16485599999999,2172
491.381958,1847
493.59756499999997,1454
495.81182899999999,1149
498.02465799999999,976
500.23605300000003,920
502.44604500000003,878
504.65460200000001,880
506.861786,861
509.06750499999998,845
511.27181999999999,873
513.47460899999999,855
515.67614700000001,844
517.87616000000003,806
520.07482900000002,866
522.272156,828
524.46795699999996,758
526.66241500000001,837
528.85546899999997,825
531.04699700000003,816
533.237122,813
535.42596400000002,800
537.61346400000002,807
539.79943800000001,865
541.98400900000001,794
544.167236,801
546.34906000000001,772
548.52948000000004,786
550.70849599999997,806
552.88610800000004,776
555.06225600000005,798
557.23718299999996,808
559.41058299999997,828
561.58264199999996,799
563.75329599999998,815
565.92260699999997,773
568.09051499999998,780
570.25701900000001,779
572.42205799999999,783
574.58581500000003,812
576.74823000000004,767
578.90917999999999,783
581.06872599999997,771
583.22705099999996,788
585.38385000000005,747
587.53936799999997,806
589.69341999999995,760
591.84600799999998,786
593.99737500000003,739
596.14739999999995,818
598.29595900000004,769
600.44311500000003,821
602.58898899999997,828
604.733521,833
606.87658699999997,899
609.018372,926
611.15875200000005,975
613.29779099999996,1053
615.43542500000001,1147
617.57165499999996,1206
619.70666500000004,1170
621.84020999999996,1099
623.97247300000004,1055
626.10333300000002,941
628.23278800000003,853
630.36096199999997,824
632.48767099999998,782
634.613159,794
636.73718299999996,762
638.85998500000005,739
640.98132299999997,740
643.10137899999995,724
645.22009300000002,743
647.33746299999996,711
649.45343000000003,734
651.56805399999996,676
653.68133499999999,720
655.793274,702
657.90386999999998,727
660.01324499999998,693
662.12109399999997,696
664.22778300000004,676
666.33306900000002,724
668.43688999999995,741
670.53949,662
672.64080799999999,682
674.74078399999996,692
676.83935499999995,731
678.93658400000004,691
681.03253199999995,669
683.12707499999999,693
685.22045900000001,671
687.31237799999997,687
689.40289299999995,761
691.49224900000002,698
693.58026099999995,679
695.66687000000002,687
697.75219700000002,683
699.83624299999997,686
701.91894500000001,665
