-89.943047,171
-87.346573,171
-84.751831,123
-82.158821,174
-79.567535,171
-76.977982,145
-74.39016,218
-71.80407,218
-69.219704,217
-66.637054,253
-64.056129,240
-61.476929,244
-58.899448,300
-56.323681,307
-53.749634,290
-51.177307,310
-48.606686,364
-46.037781,445
-43.470592,430
-40.905102,481
-38.341324,552
-35.779259,585
-33.218891,644
-30.660234,5029
-28.103275,30256
-25.548023,38372
-22.994469,40190
-20.442614,42513
-17.892447,44286
-15.343983,45001
-12.797215,45436
-10.252139,46240
-7.708754,47691
-5.16706,50421
-2.627055,53653
-0.088737,54769
2.447896,54213
4.982851,50377
7.516115,44528
10.047697,33371
12.5776,14671
15.105822,6084
17.632366,3706
20.157234,2553
22.680439,1683
25.20196,1326
27.721807,1026
30.239985,917
32.756489,813
35.271332,726
37.784512,663
40.296024,591
42.805859,615
45.314049,541
47.82056,504
50.325428,503
52.82864,435
55.330177,501
57.830074,418
60.3283,354
62.82489,392
65.319817,339
67.813095,325
70.304718,252
72.794716,322
75.283058,320
77.769745,360
80.254799,286
82.73819,255
85.219971,283
87.700089,220
90.178589,251
92.655434,172
95.130653,213
97.60424,229
100.076187,245
102.546501,194
105.015182,222
107.482246,218
109.947678,194
112.411484,267
114.873672,203
117.334229,189
119.793159,191
122.250458,201
124.706169,191
127.160248,214
129.612701,226
132.063568,217
134.512772,210
136.960373,210
139.406418,207
141.850815,200
144.293579,201
146.734756,220
149.174332,228
151.612305,274
154.048691,256
156.483429,317
158.916595,319
161.34816,395
163.778122,451
166.206512,459
168.633255,487
171.058426,619
173.48201,678
175.904022,816
178.324417,946
180.74321,1191
183.160416,1473
185.57608,1715
187.990112,2131
190.402603,2579
192.813461,3078
195.222763,3649
197.630493,4351
200.036667,5115
202.441177,5901
204.844193,6714
207.24559,7473
209.645447,8299
212.043732,9058
214.440384,9801
216.835526,10446
219.229095,11141
221.621094,11796
224.01149,12447
226.400345,13042
228.787643,13685
231.173386,14318
233.557556,15052
235.94014,15789
238.321213,16330
240.700714,17115
243.078674,17734
245.455032,18499
247.829849,18950
250.203156,19337
252.57489,19711
254.945084,20105
257.31369,20398
259.680817,20724
262.046326,20830
264.410339,21018
266.772766,21059
269.133667,21231
271.493042,21368
273.850861,21470
276.207184,21709
278.56189,21655
280.915131,21858
283.266815,21928
285.616974,21781
287.965576,21669
290.312622,21574
292.658203,21575
295.002228,21422
297.344727,21488
299.685699,21422
302.025146,21536
304.363068,21685
306.699493,21508
309.034363,21449
311.367706,21508
313.699585,21553
316.029877,21415
318.358704,21642
320.686005,21669
323.01178,21313
325.33606,21645
327.658813,21686
329.980042,21611
332.299774,21471
334.618011,21443
336.934753,21376
339.25,21307
341.56369,21309
343.875885,21367
346.186615,21240
348.495819,21291
350.803558,21410
353.109772,21246
355.41449,21255
357.717712,21180
360.01944,21234
362.319672,21280
364.618378,21168
366.91568,21179
369.211426,21272
371.505737,21213
373.798492,20952
376.089783,21170
378.379608,21186
380.667969,21087
382.954803,21059
385.240204,21052
387.524048,21100
389.806488,20936
392.087372,20999
394.366882,21022
396.644836,20891
398.921387,20914
401.196411,20743
403.470001,20949
405.742126,20877
408.012756,20783
410.28186,20763
412.549561,20658
414.815796,20631
417.080566,20561
419.343842,20610
421.605682,20695
423.866119,20608
426.125,20474
428.382538,20434
430.638428,20336
432.893005,20414
435.146088,20380
437.397736,20401
439.647919,20467
441.896637,20272
444.143982,20357
446.389801,20471
448.634186,20299
450.877136,20475
453.118591,20476
455.358643,20377
457.59726,20350
459.834381,20395
462.07016,20460
464.304443,20449
466.537262,20434
468.768677,20290
470.998657,20166
473.227142,20229
475.454254,20262
477.679932,20095
479.904175,20057
482.127014,20022
484.348419,20073
486.568329,20023
488.786865,19870
491.003967,19817
493.219574,19968
495.433838,19875
497.646667,19817
499.858063,19715
502.068054,19694
504.276611,19576
506.483795,19686
508.689514,19480
510.893829,19363
513.096619,19374
515.298157,19393
517.498169,19171
519.696838,19229
521.894165,19219
524.089966,19277
526.284424,19229
528.477478,19074
530.669006,19039
532.859131,19130
535.047974,19019
537.235474,19095
539.421448,19019
541.606018,19058
543.789246,18935
545.971069,18806
548.151489,18938
550.330505,18874
552.508118,18891
554.684265,18873
556.859192,18864
559.032593,18793
561.204651,18827
563.375305,18760
565.544617,18742
567.712524,18719
569.879028,18723
572.044067,18575
574.207825,18602
576.370239,18792
578.531189,18718
580.690735,18629
582.84906,18610
585.005859,18425
587.161377,18543
589.31543,18609
591.468018,18570
593.619385,18562
595.769409,18581
597.917969,18517
600.065125,18442
602.210999,18363
604.35553,18401
606.498596,18323
608.640381,18386
610.780762,18389
612.9198,18294
615.057434,18319
617.193665,18279
619.328674,18340
621.462219,18286
623.594482,18392
625.725342,18135
627.854797,18110
629.982971,18044
632.10968,17953
634.235168,17905
636.359192,17862
638.481995,17820
640.603333,17852
642.723389,17643
644.842102,17686
646.959473,17764
649.075439,17856
651.190063,17691
653.303345,17648
655.415283,17717
657.525879,17640
659.635254,17641
661.743103,17595
663.849792,17611
665.955078,17681
668.058899,17638
670.161499,17584
672.262817,17553
674.362793,17642
676.461365,17556
678.558594,17536
680.654541,17512
682.749084,17610
684.842468,17487
686.934387,17581
689.024902,17690
691.114258,17531
693.202271,17571
695.288879,17559
697.374207,17481
699.458252,17591
701.540955,17681
703.622375,17850
705.702393,17957
707.781067,18106
709.858459,18370
711.934631,18438
714.00946,18545
716.082947,18619
718.15509,18493
720.225952,18343
722.295471,18161
724.363708,17902
726.430664,17535
728.496155,17335
730.560608,17310
732.623596,17103
